seqid	Mediterranean	Nordic	Temperate	Equatorial	occurance
ASV10	0	0	0	82	82
ASV105	0	74	15	17	106
ASV1057	11	1	0	0	12
ASV1082	5	22	1	0	28
ASV1118	7	0	18	0	25
ASV1207	0	49	0	0	49
ASV126	18	75	3	0	96
ASV1286	12	0	0	0	12
ASV140	0	47	5	0	52
ASV1426	2	4	10	0	16
ASV1450	0	0	11	0	11
ASV1480	0	0	5	0	5
ASV1518	14	0	15	0	29
ASV1550	0	0	4	0	4
ASV1601	12	0	5	0	17
ASV175	57	74	23	2	156
ASV178	4	18	33	40	95
ASV18	87	1	220	1	309
ASV181	98	1	72	1	172
ASV19	7	195	27	2	231
ASV1901	0	0	5	0	5
ASV193	3	61	7	2	73
ASV2078	6	0	3	4	13
ASV2088	0	9	0	0	9
ASV213	58	0	121	22	201
ASV2140	1	0	7	0	8
ASV216	0	92	0	0	92
ASV2213	6	0	3	0	9
ASV2244	0	4	0	0	4
ASV238	51	0	27	3	81
ASV2466	0	9	0	0	9
ASV2521	4	0	0	0	4
ASV2569	0	0	3	0	3
ASV2715	0	26	0	0	26
ASV2733	6	0	0	0	6
ASV2782	0	13	0	0	13
ASV285	8	0	53	0	61
ASV2897	2	1	1	0	4
ASV308	0	83	1	3	87
ASV3094	4	0	4	0	8
ASV3202	0	0	4	0	4
ASV324	44	0	70	0	114
ASV34	104	3	179	3	289
ASV3400	0	0	3	0	3
ASV353	28	12	50	1	91
ASV46	8	120	23	0	151
ASV482	17	5	53	0	75
ASV529	0	0	26	0	26
ASV586	38	4	33	0	75
ASV611	14	5	10	0	29
ASV648	0	70	0	0	70
ASV683	1	2	5	7	15
ASV715	25	0	0	0	25
ASV759	1	0	22	0	23
ASV780	2	22	0	0	24
ASV797	0	0	20	0	20
ASV815	0	21	1	0	22
ASV871	0	0	11	0	11
ASV9204	6	0	0	0	6
ASV941	0	15	0	0	15
