species	occurance	avg_value	nASV	Mediterranean	Nordic	Temperate	Equatorial
Achnanthidium_catenatum	50	0.383	6	11	8	12	24
Achnanthidium_chlidanos	22	0.211	3	0	32	0	0
Achnanthidium_delmontii	165	6.548	1	10	0	155	0
Achnanthidium_digitatum	128	0.455	6	5	128	7	4
Achnanthidium_eutrophilum	219	1.004	9	44	0	189	51
Achnanthidium_lineare	17	0.46	1	3	0	14	0
Achnanthidium_minutissimum	813	1.785	60	771	1138	1212	190
Achnanthidium_pyrenaicum	291	2.664	17	177	1	511	2
Achnanthidium_rivulare	57	0.272	2	3	37	20	0
Achnanthidium_saprophilum	14	0.305	1	4	0	10	0
Achnanthidium_sp.	53	0.952	4	32	0	26	1
Achnanthidium_straubianum	30	0.274	3	19	0	4	7
Achnanthidium_subatomus	25	1.993	1	2	0	24	0
Achnanthidium_subhudsonis	187	4.419	3	2	0	99	104
Actinocyclus_sp._	17	3.012	2	0	3	8	6
Adlafia_brockmannii	8	0.15	1	0	5	3	0
Adlafia_minuscula	65	0.334	10	29	8	33	0
Amicula_sp.	89	0.257	3	11	18	61	0
Amphora_aff._atomoides	16	0.208	1	2	0	14	0
Amphora_copulata	195	0.64	6	20	146	61	15
Amphora_indistincta	27	0.43	3	11	0	16	0
Amphora_ovalis	270	1.724	5	90	5	339	0
Amphora_pediculus	449	1.422	29	356	4	1036	49
Aneumastus_macedonicus	6	0.612	1	6	0	0	0
Aneumastus_rhombicus	16	0.857	1	13	0	3	0
Asterionella_formosa	14	0.163	1	1	9	4	0
Aulacoseira_ambigua	112	0.521	6	2	138	21	0
Aulacoseira_granulata	50	2.845	6	25	5	45	0
Aulacoseira_pusilla	8	1.149	1	0	8	0	0
Aulacoseira_subarctica	88	0.3	6	1	98	9	1
Aulacoseira_tenella	95	0.56	7	0	143	1	0
Aulacoseira_valida	50	0.495	1	0	50	0	0
Bacillaria_paxillifer	64	1.209	4	2	0	50	18
Bacillaria_sp.	7	0.296	1	4	0	3	0
Brachysira_microcephala	66	0.365	3	6	37	3	20
Brachysira_sp._NA-2016a	78	0.23	5	1	37	1	53
Brachysira_vitrea	75	0.26	1	1	74	0	0
Caloneis_amphisbaena	24	0.693	1	4	0	20	0
Caloneis_fontinalis	80	0.277	3	27	4	53	1
Caloneis_lauta	4	0.1	1	0	2	2	0
Caloneis_silicula	40	0.086	2	6	7	28	0
Caloneis_sp._NE-S01	332	0.576	13	88	1	245	78
Chaetoceros_pseudocurvisetus	3	0.063	1	0	0	0	3
Cocconeis_euglypta	467	1.096	7	115	0	347	180
Cocconeis_pediculus	253	0.775	1	73	0	159	21
Cocconeis_placentula	246	0.598	20	65	22	314	25
Cocconeis_sp.	61	0.602	2	0	30	21	11
Conticribra_weissflogii	55	0.454	5	12	0	55	1
Craticula_accomoda	13	0.252	1	13	0	0	0
Craticula_cuspidata	34	0.27	4	7	0	19	12
Craticula_halophila	7	0.498	1	6	0	1	0
Craticula_importuna	60	0.425	2	20	4	38	0
Craticula_molestiformis	70	0.165	7	3	0	48	29
Craticula_simplex/halophila	26	1.131	1	22	0	4	0
Craticula_subminuscula	234	1.877	6	117	0	224	41
Ctenophora_pulchella	28	0.184	2	3	9	16	0
